OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
1, mujets, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0256502
1, mujets, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0189555
1, mujets, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0189555
1, mujets, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0236561
1, mujets, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0236561
1, mujets, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0307624
1, mujets, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0307624
1, mujets, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0387889
1, mujets, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0387889
1, mujets, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0443912
1, mujets, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0443912
1, mujets, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0693573
1, mujets, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0693573
1, mujets, central, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.0650147
1, mujets, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.0650147
1, mujets, central, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x)))
1, mujets, up, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) + 0.066868
1, mujets, down, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.92955*((1.+(0.0589629*x))/(1.+(0.0568063*x))) - 0.066868
2, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0714154
2, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0714154
2, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0256666
2, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0256666
2, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0255092
2, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0255092
2, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0319155
2, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0319155
2, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0303495
2, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0303495
2, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0297741
2, mujets, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0297741
2, mujets, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0372157
2, mujets, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0372157
2, mujets, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0313082
2, mujets, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0313082
2, mujets, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0391654
2, mujets, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0391654
2, mujets, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0519949
2, mujets, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0519949
2, mujets, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0579492
2, mujets, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0579492
2, mujets, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0597293
2, mujets, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0597293
2, mujets, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0865329
2, mujets, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0865329
2, mujets, central, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0778174
2, mujets, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0778174
2, mujets, central, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18))))))
2, mujets, up, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) + 0.0692966
2, mujets, down, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.707475+(0.00985702*(log(x+19)*(log(x+18)*(3-(0.431311*log(x+18)))))) - 0.0692966
0, mujets, central, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0777351
0, mujets, down, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0777351
0, mujets, central, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0329806
0, mujets, down, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0329806
0, mujets, central, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0354036
0, mujets, down, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0354036
0, mujets, central, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0551606
0, mujets, down, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0551606
0, mujets, central, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0345806
0, mujets, down, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0345806
0, mujets, central, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0294079
0, mujets, down, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0294079
0, mujets, central, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0284192
0, mujets, down, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0284192
0, mujets, central, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0337882
0, mujets, down, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0337882
0, mujets, central, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0372397
0, mujets, down, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0372397
0, mujets, central, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0387295
0, mujets, down, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0387295
0, mujets, central, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0506537
0, mujets, down, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0506537
0, mujets, central, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0625547
0, mujets, down, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0625547
0, mujets, central, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0984309
