OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, mujets, central, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0972654
2, mujets, down, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0972654
2, mujets, central, 1, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.112726
2, mujets, down, 1, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.112726
2, mujets, central, 1, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 1, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.107074
2, mujets, down, 1, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.107074
2, comb, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0606246
2, comb, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0606246
2, comb, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0272021
2, comb, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0272021
2, comb, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0253657
2, comb, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0253657
2, comb, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0290764
2, comb, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0290764
2, comb, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0271398
2, comb, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0271398
2, comb, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0266794
2, comb, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0266794
2, comb, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0300734
2, comb, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0300734
2, comb, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0300998
2, comb, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0300998
2, comb, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0284607
2, comb, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0284607
2, comb, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.033188
2, comb, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.033188
2, comb, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0394683
2, comb, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0394683
2, comb, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0443024
2, comb, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0443024
2, comb, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0488078
2, comb, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0488078
2, comb, central, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0565439
2, comb, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0565439
2, comb, central, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0536885
2, comb, down, 0, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0536885
2, comb, central, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.121249
2, comb, down, 1, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.121249
2, comb, central, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0544041
2, comb, down, 1, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0544041
2, comb, central, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0507313
2, comb, down, 1, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0507313
2, comb, central, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0581529
2, comb, down, 1, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0581529
2, comb, central, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0542796
